lat,lng,traffic
37.455626,127.166417,0.0
37.455626,127.147034684,0.0
37.455626,127.127652368,0.0
37.455626,127.108270053,0.0
37.455626,127.088887737,0.0
37.455626,127.069505421,0.0
37.455626,127.050123105,0.0
37.455626,127.030740789,0.0
37.455626,127.011358474,0.0
37.455626,126.991976158,0.0
37.455626,126.972593842,0.0
37.455626,126.953211526,0.0
37.455626,126.933829211,0.0
37.455626,126.914446895,0.0
37.455626,126.895064579,637342.0
37.455626,126.875682263,0.0
37.455626,126.856299947,0.0
37.455626,126.836917632,0.0
37.455626,126.817535316,0.0
37.455626,126.798153,0.0
37.4679253158,127.166417,0.0
37.4679253158,127.147034684,0.0
37.4679253158,127.127652368,493371.0
37.4679253158,127.108270053,0.0
37.4679253158,127.088887737,0.0
37.4679253158,127.069505421,0.0
37.4679253158,127.050123105,0.0
37.4679253158,127.030740789,0.0
37.4679253158,127.011358474,0.0
37.4679253158,126.991976158,74868.0
37.4679253158,126.972593842,0.0
37.4679253158,126.953211526,0.0
37.4679253158,126.933829211,0.0
37.4679253158,126.914446895,0.0
37.4679253158,126.895064579,938822.0
37.4679253158,126.875682263,0.0
37.4679253158,126.856299947,0.0
37.4679253158,126.836917632,0.0
37.4679253158,126.817535316,0.0
37.4679253158,126.798153,0.0
37.4802246316,127.166417,0.0
37.4802246316,127.147034684,0.0
37.4802246316,127.127652368,1462156.0
37.4802246316,127.108270053,0.0
37.4802246316,127.088887737,510857.0
37.4802246316,127.069505421,0.0
37.4802246316,127.050123105,0.0
37.4802246316,127.030740789,2384640.0
37.4802246316,127.011358474,2150055.0
37.4802246316,126.991976158,1106400.0
37.4802246316,126.972593842,8797662.0
37.4802246316,126.953211526,2977734.0
37.4802246316,126.933829211,5410498.0
37.4802246316,126.914446895,0.0
37.4802246316,126.895064579,4670202.0
37.4802246316,126.875682263,3341361.0
37.4802246316,126.856299947,0.0
37.4802246316,126.836917632,0.0
37.4802246316,126.817535316,0.0
37.4802246316,126.798153,0.0
37.4925239474,127.166417,0.0
37.4925239474,127.147034684,675616.0
37.4925239474,127.127652368,1866049.0
37.4925239474,127.108270053,1701528.0
37.4925239474,127.088887737,532866.0
37.4925239474,127.069505421,1272862.0
37.4925239474,127.050123105,2361853.0
37.4925239474,127.030740789,6269249.0
37.4925239474,127.011358474,4166415.0
37.4925239474,126.991976158,816981.0
37.4925239474,126.972593842,0.0
37.4925239474,126.953211526,757442.0
37.4925239474,126.933829211,0.0
37.4925239474,126.914446895,1597014.0
37.4925239474,126.895064579,2509813.0
37.4925239474,126.875682263,448125.0
37.4925239474,126.856299947,1374179.0
37.4925239474,126.836917632,1131437.0
37.4925239474,126.817535316,944860.0
37.4925239474,126.798153,0.0
37.5048232632,127.166417,0.0
37.5048232632,127.147034684,0.0
37.5048232632,127.127652368,1001472.0
37.5048232632,127.108270053,839265.0
37.5048232632,127.088887737,0.0
37.5048232632,127.069505421,3300110.0
37.5048232632,127.050123105,3686213.0
37.5048232632,127.030740789,5011433.0
37.5048232632,127.011358474,6257147.0
37.5048232632,126.991976158,393076.0
37.5048232632,126.972593842,751104.0
37.5048232632,126.953211526,590957.0
37.5048232632,126.933829211,1544223.0
37.5048232632,126.914446895,1137672.0
37.5048232632,126.895064579,3754763.0
37.5048232632,126.875682263,1246576.0
37.5048232632,126.856299947,0.0
37.5048232632,126.836917632,0.0
37.5048232632,126.817535316,0.0
37.5048232632,126.798153,0.0
37.5171225789,127.166417,0.0
37.5171225789,127.147034684,0.0
37.5171225789,127.127652368,292064.0
37.5171225789,127.108270053,7245264.0
37.5171225789,127.088887737,1547065.0
37.5171225789,127.069505421,1737406.0
37.5171225789,127.050123105,3811940.0
37.5171225789,127.030740789,2479096.0
37.5171225789,127.011358474,2215292.0
37.5171225789,126.991976158,121442.0
37.5171225789,126.972593842,866711.0
37.5171225789,126.953211526,259790.0
37.5171225789,126.933829211,6385254.0
37.5171225789,126.914446895,4368368.0
37.5171225789,126.895064579,1092178.0
37.5171225789,126.875682263,59963.0
37.5171225789,126.856299947,995956.0
37.5171225789,126.836917632,0.0
37.5171225789,126.817535316,0.0
37.5171225789,126.798153,0.0
37.5294218947,127.166417,0.0
37.5294218947,127.147034684,0.0
37.5294218947,127.127652368,1351594.0
37.5294218947,127.108270053,0.0
37.5294218947,127.088887737,2859765.0
37.5294218947,127.069505421,434672.0
37.5294218947,127.050123105,893513.0
37.5294218947,127.030740789,2117914.0
37.5294218947,127.011358474,249818.0
37.5294218947,126.991976158,1440692.0
37.5294218947,126.972593842,3798123.0
37.5294218947,126.953211526,0.0
37.5294218947,126.933829211,417968.0
37.5294218947,126.914446895,881473.0
37.5294218947,126.895064579,4029422.0
37.5294218947,126.875682263,1538035.0
37.5294218947,126.856299947,3556153.0
37.5294218947,126.836917632,0.0
37.5294218947,126.817535316,0.0
37.5294218947,126.798153,0.0
37.5417212105,127.166417,0.0
37.5417212105,127.147034684,1002367.0
37.5417212105,127.127652368,3405839.0
37.5417212105,127.108270053,744104.0
37.5417212105,127.088887737,1387606.0
37.5417212105,127.069505421,3745217.0
37.5417212105,127.050123105,2859754.0
37.5417212105,127.030740789,0.0
37.5417212105,127.011358474,1004110.0
37.5417212105,126.991976158,0.0
37.5417212105,126.972593842,1522831.0
37.5417212105,126.953211526,3314561.0
37.5417212105,126.933829211,987623.0
37.5417212105,126.914446895,698373.0
37.5417212105,126.895064579,387996.0
37.5417212105,126.875682263,1122121.0
37.5417212105,126.856299947,0.0
37.5417212105,126.836917632,1630844.0
37.5417212105,126.817535316,0.0
37.5417212105,126.798153,0.0
37.5540205263,127.166417,573932.0
37.5540205263,127.147034684,934600.0
37.5540205263,127.127652368,954797.0
37.5540205263,127.108270053,0.0
37.5540205263,127.088887737,2197585.0
37.5540205263,127.069505421,737996.0
37.5540205263,127.050123105,480917.0
37.5540205263,127.030740789,548179.0
37.5540205263,127.011358474,2612531.0
37.5540205263,126.991976158,0.0
37.5540205263,126.972593842,7553284.0
37.5540205263,126.953211526,1965347.0
37.5540205263,126.933829211,8645991.0
37.5540205263,126.914446895,3522262.0
37.5540205263,126.895064579,0.0
37.5540205263,126.875682263,0.0
37.5540205263,126.856299947,1019533.0
37.5540205263,126.836917632,1593179.0
37.5540205263,126.817535316,0.0
37.5540205263,126.798153,0.0
37.5663198421,127.166417,0.0
37.5663198421,127.147034684,0.0
37.5663198421,127.127652368,0.0
37.5663198421,127.108270053,0.0
37.5663198421,127.088887737,562063.0
37.5663198421,127.069505421,1052244.0
37.5663198421,127.050123105,1468362.0
37.5663198421,127.030740789,3011905.0
37.5663198421,127.011358474,8177795.0
37.5663198421,126.991976158,15974338.0
37.5663198421,126.972593842,5983873.0
37.5663198421,126.953211526,0.0
37.5663198421,126.933829211,0.0
37.5663198421,126.914446895,239784.0
37.5663198421,126.895064579,1074859.0
37.5663198421,126.875682263,0.0
37.5663198421,126.856299947,1180973.0
37.5663198421,126.836917632,605565.0
37.5663198421,126.817535316,1444534.0
37.5663198421,126.798153,1917467.0
37.5786191579,127.166417,0.0
37.5786191579,127.147034684,0.0
37.5786191579,127.127652368,0.0
37.5786191579,127.108270053,0.0
37.5786191579,127.088887737,1255306.0
37.5786191579,127.069505421,0.0
37.5786191579,127.050123105,2665879.0
37.5786191579,127.030740789,2447173.0
37.5786191579,127.011358474,3707296.0
37.5786191579,126.991976158,1461891.0
37.5786191579,126.972593842,1336580.0
37.5786191579,126.953211526,670231.0
37.5786191579,126.933829211,0.0
37.5786191579,126.914446895,587833.0
37.5786191579,126.895064579,1753008.0
37.5786191579,126.875682263,0.0
37.5786191579,126.856299947,0.0
37.5786191579,126.836917632,0.0
37.5786191579,126.817535316,416015.0
37.5786191579,126.798153,292748.0
37.5909184737,127.166417,0.0
37.5909184737,127.147034684,0.0
37.5909184737,127.127652368,0.0
37.5909184737,127.108270053,0.0
37.5909184737,127.088887737,2173450.0
37.5909184737,127.069505421,969675.0
37.5909184737,127.050123105,1544059.0
37.5909184737,127.030740789,1170210.0
37.5909184737,127.011358474,2725475.0
37.5909184737,126.991976158,0.0
37.5909184737,126.972593842,0.0
37.5909184737,126.953211526,1105514.0
37.5909184737,126.933829211,0.0
37.5909184737,126.914446895,739546.0
37.5909184737,126.895064579,0.0
37.5909184737,126.875682263,0.0
37.5909184737,126.856299947,0.0
37.5909184737,126.836917632,0.0
37.5909184737,126.817535316,0.0
37.5909184737,126.798153,0.0
37.6032177895,127.166417,0.0
37.6032177895,127.147034684,0.0
37.6032177895,127.127652368,0.0
37.6032177895,127.108270053,90308.0
37.6032177895,127.088887737,1109326.0
37.6032177895,127.069505421,524367.0
37.6032177895,127.050123105,1002291.0
37.6032177895,127.030740789,1451904.0
37.6032177895,127.011358474,0.0
37.6032177895,126.991976158,0.0
37.6032177895,126.972593842,0.0
37.6032177895,126.953211526,0.0
37.6032177895,126.933829211,705940.0
37.6032177895,126.914446895,1249461.0
37.6032177895,126.895064579,0.0
37.6032177895,126.875682263,0.0
37.6032177895,126.856299947,0.0
37.6032177895,126.836917632,0.0
37.6032177895,126.817535316,0.0
37.6032177895,126.798153,0.0
37.6155171053,127.166417,0.0
37.6155171053,127.147034684,0.0
37.6155171053,127.127652368,0.0
37.6155171053,127.108270053,37906.0
37.6155171053,127.088887737,1136013.0
37.6155171053,127.069505421,2759006.0
37.6155171053,127.050123105,517687.0
37.6155171053,127.030740789,1870189.0
37.6155171053,127.011358474,0.0
37.6155171053,126.991976158,0.0
37.6155171053,126.972593842,0.0
37.6155171053,126.953211526,0.0
37.6155171053,126.933829211,1667010.0
37.6155171053,126.914446895,2789993.0
37.6155171053,126.895064579,0.0
37.6155171053,126.875682263,0.0
37.6155171053,126.856299947,0.0
37.6155171053,126.836917632,0.0
37.6155171053,126.817535316,0.0
37.6155171053,126.798153,0.0
37.6278164211,127.166417,0.0
37.6278164211,127.147034684,0.0
37.6278164211,127.127652368,0.0
37.6278164211,127.108270053,0.0
37.6278164211,127.088887737,0.0
37.6278164211,127.069505421,1191728.0
37.6278164211,127.050123105,261628.0
37.6278164211,127.030740789,1025652.0
37.6278164211,127.011358474,0.0
37.6278164211,126.991976158,0.0
37.6278164211,126.972593842,0.0
37.6278164211,126.953211526,0.0
37.6278164211,126.933829211,0.0
37.6278164211,126.914446895,0.0
37.6278164211,126.895064579,0.0
37.6278164211,126.875682263,0.0
37.6278164211,126.856299947,0.0
37.6278164211,126.836917632,0.0
37.6278164211,126.817535316,0.0
37.6278164211,126.798153,0.0
37.6401157368,127.166417,0.0
37.6401157368,127.147034684,0.0
37.6401157368,127.127652368,0.0
37.6401157368,127.108270053,0.0
37.6401157368,127.088887737,0.0
37.6401157368,127.069505421,1957509.0
37.6401157368,127.050123105,263994.0
37.6401157368,127.030740789,2565062.0
37.6401157368,127.011358474,0.0
37.6401157368,126.991976158,0.0
37.6401157368,126.972593842,0.0
37.6401157368,126.953211526,0.0
37.6401157368,126.933829211,0.0
37.6401157368,126.914446895,1104532.0
37.6401157368,126.895064579,0.0
37.6401157368,126.875682263,0.0
37.6401157368,126.856299947,0.0
37.6401157368,126.836917632,0.0
37.6401157368,126.817535316,0.0
37.6401157368,126.798153,0.0
37.6524150526,127.166417,0.0
37.6524150526,127.147034684,0.0
37.6524150526,127.127652368,0.0
37.6524150526,127.108270053,0.0
37.6524150526,127.088887737,0.0
37.6524150526,127.069505421,2722569.0
37.6524150526,127.050123105,1769208.0
37.6524150526,127.030740789,1818858.0
37.6524150526,127.011358474,0.0
37.6524150526,126.991976158,0.0
37.6524150526,126.972593842,0.0
37.6524150526,126.953211526,0.0
37.6524150526,126.933829211,0.0
37.6524150526,126.914446895,0.0
37.6524150526,126.895064579,0.0
37.6524150526,126.875682263,0.0
37.6524150526,126.856299947,0.0
37.6524150526,126.836917632,0.0
37.6524150526,126.817535316,0.0
37.6524150526,126.798153,0.0
37.6647143684,127.166417,0.0
37.6647143684,127.147034684,0.0
37.6647143684,127.127652368,0.0
37.6647143684,127.108270053,0.0
37.6647143684,127.088887737,0.0
37.6647143684,127.069505421,1910644.0
37.6647143684,127.050123105,1246296.0
37.6647143684,127.030740789,0.0
37.6647143684,127.011358474,0.0
37.6647143684,126.991976158,0.0
37.6647143684,126.972593842,0.0
37.6647143684,126.953211526,0.0
37.6647143684,126.933829211,0.0
37.6647143684,126.914446895,0.0
37.6647143684,126.895064579,0.0
37.6647143684,126.875682263,0.0
37.6647143684,126.856299947,0.0
37.6647143684,126.836917632,0.0
37.6647143684,126.817535316,0.0
37.6647143684,126.798153,0.0
37.6770136842,127.166417,0.0
37.6770136842,127.147034684,0.0
37.6770136842,127.127652368,0.0
37.6770136842,127.108270053,0.0
37.6770136842,127.088887737,0.0
37.6770136842,127.069505421,0.0
37.6770136842,127.050123105,1155264.0
37.6770136842,127.030740789,0.0
37.6770136842,127.011358474,0.0
37.6770136842,126.991976158,0.0
37.6770136842,126.972593842,0.0
37.6770136842,126.953211526,0.0
37.6770136842,126.933829211,0.0
37.6770136842,126.914446895,0.0
37.6770136842,126.895064579,0.0
37.6770136842,126.875682263,0.0
37.6770136842,126.856299947,0.0
37.6770136842,126.836917632,0.0
37.6770136842,126.817535316,0.0
37.6770136842,126.798153,0.0
37.689313,127.166417,0.0
37.689313,127.147034684,0.0
37.689313,127.127652368,0.0
37.689313,127.108270053,0.0
37.689313,127.088887737,0.0
37.689313,127.069505421,0.0
37.689313,127.050123105,901662.0
37.689313,127.030740789,0.0
37.689313,127.011358474,0.0
37.689313,126.991976158,0.0
37.689313,126.972593842,0.0
37.689313,126.953211526,0.0
37.689313,126.933829211,0.0
37.689313,126.914446895,0.0
37.689313,126.895064579,0.0
37.689313,126.875682263,0.0
37.689313,126.856299947,0.0
37.689313,126.836917632,0.0
37.689313,126.817535316,0.0
37.689313,126.798153,0.0
